variant,member,is_seed,num_variables,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,mean_tracking_deg,max_tracking_deg
fixedAxisBaseline,19,0,7,-477450.851711833,477450.851711833,-345134.539295762,822585.391007595,267603.869394663,231527.693923467,670.622497099416,640,0,0
fixedAxisBaseline,20,0,7,-405780.86184513,405780.86184513,-464966.810982374,870747.672827504,282639.748079434,231961.943552084,671.880305897028,768,0,0
SingleAxisNOSeed,1,1,103,-115072.448005465,115072.448005465,-386862.155240457,501934.603245922,170044.37532791,230983.572045524,669.046442130229,352,27.7581113948708,58.6066571050162
SingleAxisNOSeed,2,0,103,-113331.14093069,113331.14093069,-387187.696366889,500518.837297579,169965.033176369,230737.373070634,668.333324107386,352,30.632161797056,58.3135092495371
SingleAxisNOSeed,3,0,103,-144283.324332118,144283.324332118,-379214.57476457,523497.899096688,177840.369858807,230835.157990515,668.616559197057,352,26.9478979170349,59.7592048022038
SingleAxisNOSeed,4,0,103,-154000.035445535,154000.035445535,-376967.294540312,530967.329985847,180140.948148288,230781.859925293,668.462180768349,352,32.1736986603855,59.5334586174952
SingleAxisNOSeed,5,0,103,-130392.688226689,130392.688226689,-383153.996361784,513546.684588473,173924.963676876,230811.142575231,668.546998284088,352,29.564963416727,59.9967951472057
SingleAxisNOSeed,6,0,103,-150606.541284704,150606.541284704,-378018.403887669,528624.945172373,178983.477624964,230888.221101258,668.770257077544,352,29.3147605288874,58.5269542611046
SingleAxisNOSeed,7,0,103,-120696.385849692,120696.385849692,-385016.608269651,505712.994119343,171785.277122259,231088.217221982,669.349548028086,352,28.6533498687079,59.4417684685692
SingleAxisNOSeed,8,0,103,-132973.822264507,132973.822264507,-382097.438188075,515071.260452582,174791.544593912,231001.119831905,669.097269485358,352,29.2849277167931,58.3026584043058
SingleAxisNOSeed,9,0,103,-148956.661519874,148956.661519874,-378495.083208193,527451.744728067,178657.386424319,230737.63298138,668.334076941704,352,30.3999125329414,58.4754073624203
