slot_time_et,mean_marginal_co2_lbs_per_mwh,median_marginal_co2_lbs_per_mwh,n_days_contributing,source_slot_ct
09:35,1003.820570,912.550000,86,08:35
09:40,1017.166024,912.550000,86,08:40
09:45,1062.692440,912.550000,86,08:45
09:50,952.695453,912.550000,86,08:50
09:55,947.391391,912.550000,86,08:55
10:00,971.132376,912.550000,86,09:00
10:05,962.460386,912.550000,86,09:05
10:10,929.211677,912.550000,86,09:10
10:15,913.333211,912.550000,86,09:15
10:20,908.608102,912.550000,86,09:20
10:25,940.988871,912.550000,86,09:25
10:30,906.353319,912.550000,86,09:30
10:35,967.720059,912.550000,86,09:35
10:40,972.181284,912.550000,86,09:40
10:45,1033.868930,912.550000,86,09:45
10:50,961.911309,912.550000,86,09:50
10:55,955.044104,912.550000,86,09:55
11:00,967.873196,912.550000,86,10:00
11:05,958.811418,912.550000,86,10:05
11:10,984.474004,912.550000,86,10:10
11:15,899.423271,912.550000,86,10:15
11:20,1006.158143,912.550000,86,10:20
11:25,987.138101,912.550000,86,10:25
11:30,976.075053,912.550000,86,10:30
11:35,927.170710,912.550000,86,10:35
11:40,1055.637468,912.550000,86,10:40
11:45,933.113279,912.550000,86,10:45
11:50,983.217613,912.550000,86,10:50
11:55,1052.008876,912.550000,86,10:55
12:00,974.654080,912.550000,86,11:00
12:05,930.522462,912.550000,86,11:05
12:10,951.876381,912.550000,86,11:10
12:15,802.928881,912.550000,86,11:15
12:20,965.591122,912.550000,86,11:20
12:25,968.675931,912.550000,86,11:25
12:30,947.062290,912.550000,86,11:30
12:35,945.732928,912.550000,86,11:35
12:40,979.577687,912.550000,86,11:40
12:45,909.301277,912.550000,86,11:45
12:50,969.394566,912.550000,86,11:50
12:55,946.815995,912.550000,86,11:55
13:00,960.578549,912.550000,86,12:00
13:05,955.613360,912.550000,86,12:05
13:10,907.884142,912.550000,86,12:10
13:15,963.661688,912.550000,86,12:15
13:20,931.758219,912.550000,86,12:20
13:25,924.785289,912.550000,86,12:25
13:30,910.466659,900.254500,86,12:30
13:35,976.395245,912.550000,86,12:35
13:40,950.928096,912.550000,86,12:40
13:45,986.616876,912.550000,86,12:45
13:50,995.228571,912.550000,86,12:50
13:55,994.324744,912.550000,86,12:55
14:00,910.999409,912.550000,86,13:00
14:05,957.713111,912.550000,86,13:05
14:10,805.656818,806.540400,86,13:10
