Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983795,-,-,-,42.29,-83.74,-5,263,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Solar Zenith Angle,Precipitable Water,Temperature,Relative Humidity,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,14,30,64,839,70.02,0.7000000000000001,1.1,73.97,243,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,15,30,51,742,76.15,0.7000000000000001,0.2,79.27,237,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,16,30,30,515,84.03,0.7000000000000001,-1.4,86.36,232,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,17,30,0,0,93.43,0.6000000000000001,-2.6,88.35000000000001,227,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,18,30,0,0,103.60000000000001,0.6000000000000001,-3.2,88.45,226,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,19,30,0,0,114.34,0.5,-3.3,88.21000000000001,228,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,20,30,0,0,125.38000000000001,0.6000000000000001,-3.3,89.27,233,6.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,21,30,0,0,136.41,0.6000000000000001,-3.3,90.28,240,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,22,30,0,0,146.92000000000002,0.6000000000000001,-3.2,90.19,249,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,23,30,0,0,155.84,0.5,-3,89.27,259,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
