run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
54,1,-725212.1273,725212.1273,-931667.4367,931667.4367,75,4,102.1293545,2.568423727,1.903842962,1.294275298,78.05739118,21.84199883,2.731751174,0.996848744,3.667235087,2.5,1.5,-90,0,2.5,1,
55,1,-360782.2217,360782.2217,-1056312.762,1056312.762,264,16,449.1966536,3.597460805,1.703910607,1.303301949,-72.56805179,51.51372107,4.816854086,0.629571906,4.5,2.5,1.5,17.58600344,29.35091117,2.5,1,
56,2,-721671.6051,721671.6051,-1524142.724,1524142.724,762,34,1134.579521,3.814304429,2.055895191,1.46710888,-39.50696629,11.93296718,5.491703206,0.135400221,4.5,2.5,1.5,17.3750832,35.31245284,2.959952207,0.224125468,
57,1,-437578.2634,437578.2634,-1056312.762,1056312.762,243,15,337.3280619,2.984881362,1.978536481,1.125021832,-77.7275335,17.01419686,4.522598645,0.904511166,4.5,2.5,1.5,17.58600354,29.35091117,2.5,1,
58,2,-767752.6189,767752.6189,-1109145.59,1109145.59,403,21,590.1620997,4.109454739,2.25562836,1.018094559,-42.29362521,42.44476722,3.566761062,0.532918059,4.5,2.5,1.5,17.58505699,29.35058541,2.5,0.880917507,
59,2,-9244.814587,9244.814587,-1320539.523,1320539.523,378,21,585.6115015,3.437346016,1.508745919,1.025869981,-88.52092671,85.6101189,5.922653498,0.474859192,4.5,2.5,1.5,17.51862012,29.35250918,2.5,0.499931232,
60,1,-438831.6061,438831.6061,-632169.2597,632169.2597,263,10,399.4459644,4.212202658,2.154920241,1.357112989,-56.8519565,7.658162723,6.588064045,0.719675649,4.5,2.5,1.5,45.00042225,39.8352802,6.413598326,0.805559709,
61,2,-342954.0178,342954.0178,-838399.6643,838399.6643,355,13,529.5572367,3.748000362,1.098824211,1.431067707,31.55425401,70.01901845,6.214267532,0.265597352,4.498860943,2.5,1.5,-86.51062682,0,3.055539619,1,
62,1,-641685.9243,641685.9243,-1056312.762,1056312.762,245,15,387.8481291,3.785329095,1.623347721,1.377966278,-28.24425709,18.69811632,5.42392269,0.211007945,4.5,2.5,1.5,17.58600348,29.35091152,2.5,1,
63,1,-588496.9573,588496.9573,-1118100.263,1118100.263,499,23,789.313661,3.250238697,1.745363132,1.394656539,88.46449166,47.00747706,4.201942146,0.494920058,3.630103143,2.5,1.5,-89.52104075,0,2.5,0.583323613,
64,1,-523807.5071,523807.5071,-1056312.762,1056312.762,361,19,577.166981,2.956641941,1.684927192,1.46384956,10.67878481,74.94661537,4.341441842,0.853852427,4.5,2.5,1.5,17.58600349,29.35091116,2.5,1,
65,2,-188338.4021,188338.4021,-579152.8973,579152.8973,420,20,304.3481591,2.697750099,1.637917565,1.238874441,-48.69188126,73.52680651,7.245297811,0.912175657,4.5,2.5,1.5,17.60530057,29.33878291,7.80586668,0.772720179,
66,2,-576226.3632,576226.3632,-838405.2933,838405.2933,366,15,583.3888257,3.684899506,1.406375318,1.489548613,18.4723717,7.146698148,5.294495786,0.162612149,4.397745247,2.5,1.5,-89.60351621,0,3.055547769,1,
67,2,-406897.2848,406897.2848,-1099508.748,1099508.748,632,24,928.1173915,4.280677841,1.455934039,1.137893193,13.78184922,31.82481449,5.757733053,0.789673997,4.5,2.5,1.5,17.61831876,21.49165993,2.673801412,0.880941314,
68,1,-1135418.983,1135418.983,-1155073.123,1155073.123,182,5,295.7772964,3.888838524,2.391334372,1.15080973,0.6439088,43.64941721,3.789988638,0.282700049,3.8923854,2.39433102,1.160439706,2.322604593,42.46349983,3.789223863,0.282946717,
69,1,-380794.313,380794.313,-931633.7841,931633.7841,174,9,231.4122966,3.147776087,1.587996146,1.164182448,68.39743445,33.30617907,6.34912579,0.664981378,4.398743637,2.5,1.5,-89.80741275,0,2.5,1,
70,2,-234683.0523,234683.0523,-1786827.728,1786827.728,1079,50,276.3525481,4.01087943,1.16694746,1.283523143,-2.090210907,53.93580976,7.961052182,0.675738461,4.5,2.5,1.5,17.54297507,36.99734603,2.548752982,0.112897172,
71,2,-513139.9283,513139.9283,-1161984.476,1161984.476,441,24,387.3744801,2.53045028,2.47938513,1.347122752,75.96344701,20.78513018,6.974393323,0.727937466,4.5,2.5,1.5,17.58018976,29.35061554,2.5,0.772710721,
72,2,-481516.9117,481516.9117,-1584686.237,1584686.237,524,24,460.9302211,3.5,1,1,0,45,5,0.1,4.5,2.5,1.5,17.56112409,29.34976912,2.803547758,0.166513535,
